OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
938,1037,1932,17.385643,100,pass,IN-InDOT-V001-WB_I-94_SRC_4,17524-17357-1
939,1038,1936,7.879536,100,pass,IN-InDOT-V001-EB_I-94_SRC_2055,17575-17664-1
940,1039,1966,42.451245,100,pass,IN-InDOT-V001-SB_I-65_SRC_2501,17861-17815-1
941,1040,1883,7.145247,100,pass,IN-InDOT-V001-WB_I-94_SRC_16,16936-16929-1
942,1041,1928,5.891912,100,pass,IN-InDOT-V001-EB_I-94_SRC_2062,17358-17523-1
943,1042,1932,25.828643,100,pass,IN-InDOT-V001-WB_I-94_SRC_23,17524-17357-1
944,1043,1938,8.673353,100,pass,IN-InDOT-V001-WB_I-94_SRC_2055,17663-17576-1
945,1044,1990,17.809139,100,pass,IN-InDOT-V001-EB_I-94_SRC_2054,7240-18124-1
946,1045,1891,11.997103,100,pass,IN-InDOT-V001-EB_I-94_SRC_19,17063-17180-1
947,1046,1996,10.385374,100,pass,IN-InDOT-V001-EB_I-94_SRC_2485,18148-18164-1
948,1047,1966,21.102641,100,pass,IN-InDOT-V001-SB_I-65_SRC_2027,17861-17815-1
949,1048,2120,18.247611,100,pass,IN-InDOT-V001-SB_I-65_SRC_3159,22247-17878-1
950,1049,2101,25.401861,100,pass,IN-InDOT-V001-SB_I-65_SRC_2499,22250-17814-1
951,1050,1957,12.236951,100,pass,IN-InDOT-V001-SB_I-65_SRC_2528,17814-17790-1
952,1051,1872,9.054343,100,pass,IN-InDOT-V001-EB_I-94_SRC_13,16714-16787-1
953,1052,1936,8.258519,100,pass,IN-InDOT-V001-EB_I-94_SRC_26,17575-17664-1
954,1053,1928,3.122215,100,pass,IN-InDOT-V001-EB_I-94_SRC_5,17358-17523-1
955,1054,2063,9.848981,100,pass,IN-InDOT-V001-EB_I-94_SRC_3,22231-17575-1
956,1055,1963,2.184066,100,pass,IN-InDOT-V001-NB_I-65_SRC_2502,17830-17866-1
957,1056,1938,10.041018,100,pass,IN-InDOT-V001-WB_I-94_SRC_26,17663-17576-1
958,1057,1878,1.70809,100,pass,IN-InDOT-V001-EB_I-94_SRC_14,16787-16895-1
959,1058,1979,33.092449,100,pass,IN-InDOT-V001-NB_I-65_SRC_3160,17927-17942-1
960,1059,2100,23.394399,100,pass,IN-InDOT-V001-NB_I-65_SRC_2500,22253-17830-1
961,1060,1879,17.466993,100,pass,IN-InDOT-V001-WB_I-94_SRC_2056,16894-16786-1
962,1061,1927,15.08903,100,pass,IN-InDOT-V001-WB_I-94_SRC_6,17357-17327-1
963,1062,1963,25.370771,100,pass,IN-InDOT-V001-NB_I-65_SRC_2501,17830-17866-1
964,1063,1957,15.7117,100,pass,IN-InDOT-V001-SB_I-65_SRC_2040,17814-17790-1
965,1064,1928,8.848661,100,pass,IN-InDOT-V001-EB_I-94_SRC_24,17358-17523-1
966,1065,2071,0.010203,100,pass,IN-InDOT-V001-WB_I-94_SRC_2484,22196-18122-1
967,1066,1872,12.610061,100,pass,IN-InDOT-V001-EB_I-94_SRC_12,16714-16787-1
968,1067,1928,8.857988,100,pass,IN-InDOT-V001-EB_I-94_SRC_4,17358-17523-1
969,1068,1893,9.422921,100,pass,IN-InDOT-V001-WB_I-94_SRC_8,17167-17062-1
970,1069,1889,19.338698,100,pass,IN-InDOT-V001-WB_I-94_SRC_10,17051-17011-1
971,1070,1956,12.647511,100,pass,IN-InDOT-V001-NB_I-65_SRC_2473,17812-17828-1
972,1071,1963,0.524711,100,pass,IN-InDOT-V001-NB_I-65_SRC_2027,17830-17866-1
